myFCT,AEZ_id
14,Tigray
14,Afar
14,Amhara
14,Oromia
14,Somali
14,Bensh-G
14,SNNPR
14,Gambella
14,Harari
14,Dire Dawa
15,Tigray
15,Amhara
15,Oromia
15,Bensh-G
15,SNNPR
15,Gambella
15,Harari
15,Dire Dawa
36,Tigray
36,Afar
36,Amhara
36,Oromia
36,Somali
36,Bensh-G
36,SNNPR
36,Gambella
36,Harari
36,Dire Dawa
39,Tigray
39,Afar
39,Amhara
39,Oromia
39,Somali
39,Bensh-G
39,SNNPR
39,Gambella
39,Harari
39,Dire Dawa
40,Tigray
40,Amhara
40,Oromia
40,SNNPR
40,Gambella
40,Harari
40,Dire Dawa
52,Tigray
52,Afar
52,Amhara
52,Oromia
52,Somali
52,Bensh-G
52,SNNPR
52,Gambella
52,Harari
52,Dire Dawa
74,Tigray
74,Afar
74,Amhara
74,Oromia
74,Somali
74,Bensh-G
74,SNNPR
74,Gambella
74,Harari
74,Dire Dawa
83,Tigray
83,Afar
83,Amhara
83,Oromia
83,Somali
83,Bensh-G
83,SNNPR
83,Gambella
83,Harari
83,Dire Dawa
89,Oromia
89,Bensh-G
89,SNNPR
89,Gambella
93,Oromia
93,Bensh-G
93,SNNPR
93,Gambella
96,Tigray
96,Afar
96,Amhara
96,Oromia
96,Somali
96,Bensh-G
96,SNNPR
96,Gambella
96,Harari
96,Dire Dawa
118,Tigray
118,Amhara
118,Oromia
118,Bensh-G
118,SNNPR
118,Gambella
134,Tigray
134,Afar
134,Amhara
134,Oromia
134,Somali
134,Bensh-G
134,SNNPR
134,Gambella
134,Harari
134,Dire Dawa
140,Tigray
140,Amhara
140,Oromia
140,Bensh-G
140,SNNPR
140,Gambella
140,Harari
140,Dire Dawa
155,Tigray
155,Afar
155,Amhara
155,Oromia
155,Somali
155,Bensh-G
155,SNNPR
155,Gambella
155,Harari
155,Dire Dawa
156,Tigray
156,Amhara
156,Oromia
156,Bensh-G
156,SNNPR
156,Gambella
156,Harari
156,Dire Dawa
165,Tigray
165,Amhara
165,Oromia
165,Somali
165,Bensh-G
165,SNNPR
165,Gambella
165,Harari
165,Dire Dawa
167,Bensh-G
168,Tigray
168,Afar
168,Amhara
168,Oromia
168,Somali
168,Bensh-G
168,SNNPR
168,Gambella
168,Harari
168,Dire Dawa
171,Tigray
171,Afar
171,Amhara
171,Oromia
171,Somali
171,Bensh-G
171,SNNPR
171,Gambella
171,Harari
171,Dire Dawa
190,Tigray
190,Amhara
190,Oromia
190,Bensh-G
190,SNNPR
190,Gambella
190,Harari
190,Dire Dawa
197,Tigray
197,Afar
197,Amhara
197,Oromia
197,Bensh-G
197,SNNPR
197,Gambella
197,Harari
197,Dire Dawa
199,Tigray
199,Afar
199,Amhara
199,Oromia
199,Somali
199,Bensh-G
199,SNNPR
199,Gambella
199,Harari
199,Dire Dawa
201,Tigray
201,Amhara
201,Oromia
201,SNNPR
201,Gambella
201,Harari
201,Dire Dawa
222,Tigray
222,Afar
222,Amhara
222,Oromia
222,Somali
222,Bensh-G
222,SNNPR
222,Gambella
222,Harari
222,Dire Dawa
229,Tigray
229,Afar
229,Amhara
229,Oromia
229,Somali
229,Bensh-G
229,SNNPR
229,Gambella
229,Harari
229,Dire Dawa
233,Tigray
233,Afar
233,Amhara
233,Oromia
233,Somali
233,Bensh-G
233,SNNPR
233,Gambella
233,Harari
233,Dire Dawa
234,Tigray
234,Afar
234,Amhara
234,Oromia
234,Somali
234,Bensh-G
234,SNNPR
234,Gambella
234,Harari
234,Dire Dawa
235,Tigray
235,Afar
235,Amhara
235,Oromia
235,Somali
235,Bensh-G
235,SNNPR
235,Gambella
235,Harari
235,Dire Dawa
236,Tigray
236,Afar
236,Amhara
236,Oromia
236,Somali
236,Bensh-G
236,SNNPR
236,Gambella
236,Harari
236,Dire Dawa
237,Amhara
237,Oromia
237,Bensh-G
237,SNNPR
237,Gambella
241,Tigray
241,Afar
241,Amhara
241,Oromia
241,Somali
241,SNNPR
241,Gambella
241,Harari
241,Dire Dawa
245,Tigray
245,Amhara
245,Oromia
245,SNNPR
245,Gambella
245,Harari
245,Dire Dawa
247,Tigray
247,Afar
247,Amhara
247,Oromia
247,Somali
247,Bensh-G
247,SNNPR
247,Gambella
247,Harari
247,Dire Dawa
272,Tigray
272,Afar
272,Amhara
272,Oromia
272,Somali
272,Bensh-G
272,SNNPR
272,Gambella
272,Harari
272,Dire Dawa
276,Tigray
276,Afar
276,Amhara
276,Oromia
276,Somali
276,Bensh-G
276,SNNPR
276,Gambella
276,Harari
276,Dire Dawa
292,Tigray
292,Afar
292,Amhara
292,Oromia
292,Somali
292,Bensh-G
292,SNNPR
292,Gambella
292,Harari
292,Dire Dawa
294,Tigray
294,Afar
294,Amhara
294,Oromia
294,Somali
294,Bensh-G
294,SNNPR
294,Gambella
294,Harari
294,Dire Dawa
326,Tigray
326,Amhara
326,Oromia
326,Bensh-G
326,SNNPR
326,Gambella
326,Harari
326,Dire Dawa
336,Tigray
336,Afar
336,Amhara
336,Oromia
336,Somali
336,Bensh-G
336,SNNPR
336,Gambella
336,Harari
336,Dire Dawa
354,Tigray
354,Amhara
354,Oromia
354,Bensh-G
354,SNNPR
354,Gambella
354,Harari
354,Dire Dawa
405,Tigray
405,Afar
405,Amhara
405,Oromia
405,Somali
405,Bensh-G
405,SNNPR
405,Gambella
405,Harari
405,Dire Dawa
407,Tigray
407,Afar
407,Amhara
407,Oromia
407,Somali
407,SNNPR
407,Gambella
407,Harari
407,Dire Dawa
409,Tigray
409,Afar
409,Amhara
409,Oromia
409,Somali
409,Bensh-G
409,SNNPR
409,Gambella
409,Harari
409,Dire Dawa
412,Tigray
412,Amhara
412,Oromia
412,SNNPR
412,Gambella
412,Harari
412,Dire Dawa
422,Afar
422,Somali
426,Tigray
426,Afar
426,Amhara
426,Oromia
426,Somali
426,Bensh-G
426,SNNPR
426,Gambella
426,Harari
426,Dire Dawa
